id,code,name,aliquot,month_ucim,year_ucim
concept160,3.02.050,"Instrumentos de óptica, fotografía, cinematografía.",1,,
concept161,3.02.051,Juguetes.,1,,
concept162,3.02.052,"Papelería, librerías, revistas.",1,,
concept163,3.02.053,"Floristería, artículos para jardines.",1,,
concept164,3.02.054,"Joyas, relojes.",1,,
concept165,3.02.055,Artículos religiosos.,1,,
concept166,3.02.056,"Pelucas, peluquines.",1,,
concept167,3.02.057,Artículos deportivos.,1,,
concept168,3.02.058,"Artículos de artesanía, típicos, folklóricos.",1,,
concept169,3.02.059,"Fertilizantes, abonos y otro producto químicos para la agricultura.",1,,
concept170,3.02.060,"Productos veterinarios, animales domésticos.",1,,
concept171,3.02.061,"Máquinas, accesorios para  oficinas.",1,,
concept172,3.02.062,Artículos para regalos y novedades.,1,,
concept173,3.02.063,Quincallerías.,1,,
concept174,3.02.064,Computadoras aparatos informáticos y sus accesorios.,1,,
concept175,3.02.065,"Teléfonos celulares, inalámbricos y accesorios, artículos, dispositivos.",1,,
concept176,3.02.066,"Aparatos sexuales, eróticos, juguetes de adultos, Artículos esotéricos, paranormales.",1,,
concept177,3.02.067,"Productos, alimentos o especies naturistas.",1,,
concept178,3.02.068,"Artefactos, mobiliarios y sus accesorios para hospitales, clínicas, ambulatorios, consultorios.",1,,
concept179,3.02.069,"Aparatos y equipos de fotocopiado, escáner, digitalizadores.",1,,
concept180,3.02.070,Plantas o especie naturales de la flora (viveros).,1,,
concept181,3.02.071,"Accesorios, aparatos, prendas o dispositivos para animales domésticos.",1,,
concept182,3.02.01.001,Licorerías.,1,,
concept183,3.02.01.002,Bodegones.,1,,
concept184,3.02.01.003,"Distribuidoras y cualquier tipo de venta al detal, Distribución al mayor de bebidas alcohólicas tapadas y en sus envases originales.",1,,
concept185,3.03.001,"Restaurantes, sin expendio de bebidas alcohólicas.",1,,
concept186,3.03.002,"Restaurantes, con expendio de bebidas alcohólicas.",1,,
concept187,3.03.003,Bar restaurante.,1,,
concept188,3.03.004,"Bares, cervecerías, tascas, bar, restaurante, cabarets, night club, american bar, discotecas, karaokes.",1,,
concept189,3.03.005,"Cafeterías, heladerías, cafés, fuentes de soda.",1,,
concept190,3.03.006,"Refresquerías, areperas.",1,,
concept191,3.03.007,"Fuentes de soda con expendio de cervezas, vinos y cocteles.",1,,
